query,match,score
chanh nhuyễn,chanh rum,9.431559
cà tím,cà rốt tím,15.462433
cà tím,bắp tím,8.959972
kali citrate,"e332_i , Kali dihydro citrat , Potassium dihydrogen citrate",10.928639
kali citrate,trinatri citrate,8.61035
bột rau chân vịt,rau chân vịt,37.671513
bột rau chân vịt,rau chân vịt mù tạt nhật,21.1162
bột nguyên cám,bột mì nguyên cám,21.384504
bột nguyên cám,bột bắp nguyên cám,21.384504
sữa lên men bởi lactobacillus helveticus,sữa lên men,27.1894
sữa lên men bởi lactobacillus helveticus,sữa lên men tự nhiên,24.98926
caroten,caroten tự nhiên,11.102929
caroten,beta caroten',10.329372
hương nho xanh tự nhiên,hương chanh xanh tự nhiên,23.587978
hương nho xanh tự nhiên,hương trà xanh tự nhiên,23.587978
xoài tươi,xoài tươi tự nhiên,22.079002
xoài tươi,xoài,10.866129
hương gà béo tự nhiên,hương gà rán tự nhiên,20.814137
hương gà béo tự nhiên,hương gà giống tự nhiên,20.814137
rau mùi khô,rau mùi,20.516125
rau mùi khô,rau mùi tây,19.481766
gia vị cà chua,gói xốt mayonnaise vị cà chua,26.529125
gia vị cà chua,gia vị bbq  bột cà chua,25.914528
monoglycerid của các acid béo,monoglycerid của các acid béo e471,50.293453
monoglycerid của các acid béo,glycerid của các acid béo,34.721714
động vật thân mềm,động vật thân giáp,34.56722
động vật thân mềm,động vật giáp xác,21.432999
chất tạo chua,chất tạo vị chua,16.466198
chất tạo chua,chất tạo xốp,10.210252
hạt tiểu hồi nguyên chất,hoa hồi nguyên chất,26.106174
hạt tiểu hồi nguyên chất,hoa đại hồi nguyên chất,25.062027
ớt bột hàn quốc,ớt hàn quốc,25.568043
ớt bột hàn quốc,ớt bột,19.25324
chất ổn định e415,chất ổn định,19.135927
chất ổn định e415,chất ổn định e471,18.293903
flavourings,artiticial flavourings,11.367317
flavourings,natural pepper flavouring with other natural flavourings,8.576387
rong biển,rong biển xanh,18.629787
rong biển,rong biển nướng,18.629787
nước ép chanh dây cô đặc,nước ép chanh cô đặc,32.5131
nước ép chanh dây cô đặc,nước ép chanh dây,32.02765
bột nấm,bột nấm men,14.221472
bột nấm,bột nấm hương,14.221472
đường thạch trân châu konjac,thạch trân châu konjac,44.73493
đường thạch trân châu konjac,hạt trân châu konjac,32.701736
số cô la được xử lý với chất kiếm,sô cô la được xử lý với chất kiềm,54.427628
số cô la được xử lý với chất kiếm,sô cô la được xử lý với chất kiểm,54.427628
xirô ra,xirô glucô,9.02808
xirô ra,xirô glucose,9.02808
tắc,hương tắc,11.025056
tắc,muối tắc,11.025056
inosinat,inosinat e631,11.825552
inosinat,dinatri e5' inosinat,9.151622
nước sữa chua lên men tự nhiên,sữa chua lên men tự nhiên,47.461693
nước sữa chua lên men tự nhiên,nước tương lên men tự nhiên,30.56672
green tea extract,green tea powder,22.93948
green tea extract,green tea leaves,22.93948
hương mạch nha,hương mạch nha giống tự nhiên,22.88854
hương mạch nha,mạch nha,18.826746
aspartam haccp,aspartam,11.048452
aspartam haccp,aspartam e1951,10.329372
hương hành tím tự nhiên,hương hành tím phi tổng hợp,21.92537
hương hành tím tự nhiên,hương hành tự nhiên,21.90919
hương liệu tổng hợp dùng trong thực phẩm,hương tổng hợp dùng trong thực phẩm,42.357483
hương liệu tổng hợp dùng trong thực phẩm,tổng hợp dùng trong thực phẩm,40.9291
hương ca cao nhân tạo,hương ca cao tổng hợp,22.87051
hương ca cao nhân tạo,hương ca cao tự nhiên,22.87051
xi rô bắp giàu fructose,xi tô bắp giàu fructose,39.4093
xi rô bắp giàu fructose,xirô bắp giàu fructose,33.404617
chứa ngũ cốc chứa gluten,ngũ cốc chứa gluten,39.45862
chứa ngũ cốc chứa gluten,sản phẩm có chứa các loại ngũ cốc chứa gluten,31.72924
tương đ,chất ổn đ,11.102929
tương đ,tương,9.265793
vanille,vanille en gousse,11.102929
vanille,extrait de vanille,10.09476
tốt cho sức khỏe theo xu hướng sống khỏe trên thế giới,không hợp chất hóa học nên rất an toàn cho sức khỏe người dùng,16.236958
tốt cho sức khỏe theo xu hướng sống khỏe trên thế giới,kinh giới,11.367317
mẫu beet red tự nhiên,phẩm màu beet red tự nhiên,32.209545
mẫu beet red tự nhiên,mẫu thực phẩm hữu cơ tự nhiên anthocyanin,10.879631
crème en poudre,crème de lait entier en poudre,24.876602
crème en poudre,lait en poudre,18.713072
artificial coloring,natural coloring,11.825552
artificial coloring,artificial partially,9.340734
hương táo tự nhiên,ít hơn  gồm hương táo tự nhiên,30.400759
hương táo tự nhiên,táo tự nhiên,23.155315
chất điều chỉnh độ åcid,chất điều chỉnh độ,24.622599
chất điều chỉnh độ åcid,chất điều chỉnh độ axit,23.628695
polyglycerol polyricinoleate,polyglycerol esters of fatty acids,9.224043
polyglycerol polyricinoleate,"e475 , Este của polyglycerol với các acid béo , Polyglycerol esters of fatty acids",5.972103
dịch chiết xuất thịt gà,dịch chiết thịt gà,34.095787
dịch chiết xuất thịt gà,chiết xuất thịt gà,33.6296
tricalcium phosphorus,magnesium phosphorus,11.367317
tricalcium phosphorus,dipotassium phosphorus,11.367317
natural vanilla pods,bourbon vanilla pods,25.146519
natural vanilla pods,natural flavour,9.175454
sương sáo,cây sương sáo,22.159115
sương sáo,bột sương sáo,22.159115
hương nhân tạo,hương nhân tạo vải nhân tạo,28.691847
hương nhân tạo,hương nhân tạo e1,22.278515
hương vanilin tổng hợp,hương tổng hợp,13.569258
hương vanilin tổng hợp,hương của tổng hợp,12.897513
nước ép cà rốt đen cô đặc,cà rốt đen cô đặc,45.34779
nước ép cà rốt đen cô đặc,nước ép cà rốt cô đặc,41.47527
màu tự nhiên từ khoai lang tím,chiết xuất từ khoai lang tím,39.98191
màu tự nhiên từ khoai lang tím,màu thực phẩm tổng hợp từ khoai lang tím,39.86751
bột gia vị bò,bột sụp gia vị bò,25.870157
bột gia vị bò,bột gia vị bò kho,25.635742
rượu,có chứa rượu,11.102929
rượu,rượu mạnh,8.251066
màu thực phẩm nhân tạo,màu thực phẩm nhân tạo gồm,35.793186
màu thực phẩm nhân tạo,màu thực phẩm nhân tạo e110,35.793186
"e626 , Acid guanylic, 5'- , Guanylic acid, 5'-","e630 , Acid inosinic, 5'- , Inosinic acid, 5'-",37.091133
"e626 , Acid guanylic, 5'- , Guanylic acid, 5'-",5',23.000502
sửa chua,sửa,10.704107
sửa chua,sửa tươi,10.007439
beetroot juice,beetroot red,11.825552
beetroot juice,pineapple juice,9.63369
gấc,gấc tươi,11.825552
gấc,dầu gấc,11.825552
beta glucan từ nấm men,beta glucan từ men,39.54341
beta glucan từ nấm men,beta glucan,21.767197
yến mạch  nguyên hạt,yến mạch nguyên hạt,46.424454
yến mạch  nguyên hạt,bột yến mạch nguyên hạt,35.201336
chất nhũ hóa lecithin đậu nành e322,chất nhũ hóa lecithin đậu nành,44.148712
chất nhũ hóa lecithin đậu nành e322,chất nhũ hóa lecithin đậu nành e322_i,42.60065
"e508 , Kali clorid , Potassium chloride",potassium chloride,33.558273
"e508 , Kali clorid , Potassium chloride",kali clorid,31.466782
bột gia vị tôm hùm nướng ngũ vị,bột gia vị tôm hùm nướng,48.386406
bột gia vị tôm hùm nướng ngũ vị,bột gia vị tôm,26.836517
d glucose,d glucose khan,21.824345
d glucose,d,9.65657
fish oil,fish oil high dha,21.86844
fish oil,dha from fish oil,20.018541
bột mắm,bột nước mắm,13.098583
bột mắm,thức mắm,10.007439
gói sốt tương cà,tương cà,24.20099
gói sốt tương cà,gói sốt,19.267036
chất điều chỉnh độ axit,đường chất điều chỉnh độ axit,36.853344
chất điều chỉnh độ axit,gelatin chất điều chỉnh độ axit,36.853344
quả cơm cháy,chiết xuất quả cơm cháy,33.442596
quả cơm cháy,cơm cháy,23.524902
hương vải tổng hợp,hương vải tổng hợp dùng cho thực phẩm,29.522785
hương vải tổng hợp,hương vải,15.460308
khoáng chất sắt,vi chất sắt,23.037544
khoáng chất sắt,khoáng chất,21.625399
l'hu de palme,huile de palme,24.19588
l'hu de palme,huile de palme durable,9.755236
chiết xuất cua,bột chiết xuất cua,27.36475
chiết xuất cua,chiết xuất sò,11.477932
seaweed,seaweed sachet,11.825552
seaweed,dehydrated seaweed,11.825552
con ruốc sấy,con ruốc,24.826195
con ruốc sấy,ruốc sấy,21.722303
red capsicum,capsicum,11.256905
red capsicum,oleoresin capsicum,10.52426
e433,"e433 , Polyoxyethylen (20) sorbitan monooleat , Polyoxyethylene (20) sorbitan monooleate",18.184486
concentré de sureau,extrait de sureau,24.172104
concentré de sureau,concentré de cassis,23.850758
bí ngòi,bó ngòi,11.825552
bí ngòi,bí xanh,10.329372
glucono delta,"e575 , Glucono delta- lacton , Glucono delta- lactone",22.448753
glucono delta,glucono delta lacton,21.979229
fibra di frumento,fibra di avena,25.146519
fibra di frumento,farina di frumento,23.119753
từ sắn,từ tinh bột sắn,15.618626
từ sắn,sắn,10.4258
bột lúa mì hữa cơ công nghệ cheso,bột lúa mì hữa cơ công nghệ che so,59.986645
bột lúa mì hữa cơ công nghệ cheso,bột lúa mì,21.005281
trehalose,le trehalose,11.367317
trehalose,đường trehalose,11.367317
"e341_iii , Tricalci phosphat , Tricalcium phosphate",tricalcium phosphate,35.156944
"e341_iii , Tricalci phosphat , Tricalcium phosphate",tricalci phosphat,33.364136
vitamin b3,"e375 ,  , niacin (nicotinic acid), nicotinamide (vitamin B3)",19.209614
vitamin b3,b3,12.158652
chất xơ hòa tan linulin,chất xơ hòa tan,32.93681
chất xơ hòa tan linulin,chất xơ hòa tan inulin,31.610056
acid acetic băng,"e260 , Acid acetic băng , Acetic acid, glacial",34.95757
acid acetic băng,acid acetic băng e260,29.627071
ngò om,hương ngò om,24.19588
ngò om,ngò,9.899916
màu thực phẩm tổng hợp e110,màu thực phẩm tổng hợp,33.3867
màu thực phẩm tổng hợp e110,màu thực phẩm tổng hợp e133,32.166004
não bộ dầu đậu nành chứa hàm lượng cao phytosterols,sirô ngô hàm lượng cao fructose,17.758522
não bộ dầu đậu nành chứa hàm lượng cao phytosterols,si rô ngô hàm lượng cao fructose,17.023119
xiro lúa mạch,lúa mạch,16.613781
xiro lúa mạch,hạt lúa mạch,15.809536
đường trong e1 khẩu phần,với khẩu phần không qua  mỗi ngày,8.922115
đường trong e1 khẩu phần,thành phần,8.662737
hỗn hợp sấy khô,hỗn hợp rau củ sấy khô,25.991709
hỗn hợp sấy khô,hỗn hợp rau khô,18.227137
chất xơ hòa tan inulin,chất xơ hòa tan,32.93681
chất xơ hòa tan inulin,chất xơ hòa tan linulin,31.610056
từ nước ép chanh cô đặc,nước chanh từ nước ép chanh cô đặc,44.876324
từ nước ép chanh cô đặc,nước ép chanh cô đặc,41.06338
fromage,fromage fondu,11.825552
titanium dioxide,"e171 , Titan dioxyd , Titanium dioxide",29.870983
titanium dioxide,titanium dioxide e171,23.17092
cốt cá cơm,nước cốt cá cơm,28.91386
cốt cá cơm,tinh cốt cá cơm,28.91386
"e364_ii , Dinatri succinat , Disodium succinate",dinatri succinat,34.799393
"e364_ii , Dinatri succinat , Disodium succinate",disodium succinate,34.408054
"e432 , Polyoxyethylen (20) sorbitan monolaurat , Polyoxyethylene (20) sorbitan monolaurate","e433 , Polyoxyethylen (20) sorbitan monooleat , Polyoxyethylene (20) sorbitan monooleate",57.59756
"e432 , Polyoxyethylen (20) sorbitan monolaurat , Polyoxyethylene (20) sorbitan monolaurate","e434 , Polyoxyethylen (20) sorbitan monopalmitat , Polyoxyethylene (20) sorbitan monopalmitate",57.59756
chứa bột mỳ,bột mỳ,22.432201
chứa bột mỳ,tinh bột mỳ,21.35345
coat roll,acid roll,11.367317
coat roll,beef chuck eye roll,10.058077
blé,blé complet,11.825552
blé,amidon de blé,10.672695
extrait de boeuf spice,extrait de fraise,20.71206
extrait de boeuf spice,extrait de paprika,20.71206
bột trà sữa e3_in e1,bột trà sữa matcha,25.308931
bột trà sữa e3_in e1,bột trà,14.74274
chất gum nén,chất gum nền,14.972435
chất gum nén,chất gum né,14.972435
chất phụ gia,không chất phụ gia,32.60565
chất phụ gia,phụ gia,22.09333
"e965 ,  , maltitol",e965,27.378616
"e965 ,  , maltitol","e965_i , Maltitol , Maltitol",25.288551
hương ngò rí,ngò rí,24.30674
hương ngò rí,hương ngò rí tổng hợp,23.817007
đường bơ,sôcôla trắng  đường bơ cacao,9.893772
đường bơ,bơ,9.65657
glycerin fatty ester,glycerin fatty acide ester,30.509626
glycerin fatty ester,glycerin fatty acid ester,30.509626
hàm lượng tạp chất không tan,hàm lượng nacl  hàm lượng tạp chất không tan  hàm lượng ẩm  hàm lượng ion so e4  hàm lượng ion mg2  hàm lượng ion ca2,41.65989
hàm lượng tạp chất không tan,hàm lượng canxi,18.20031
hương chanh xanh tự nhiên,hương nho xanh tự nhiên,23.587978
hương chanh xanh tự nhiên,hương trà xanh tự nhiên,23.587978
có thể có chứa,có thể có chứa sữa,28.285416
có thể có chứa,có thể có chứa lạc,28.285416
trà tinh chiết,trà tinh khiết,21.268356
trà tinh chiết,trà xanh,8.559904
tiên thảo e0,đường e0,9.431559
tiên thảo e0,hành tây e0,8.855226
hương liêu,hương liêu giống tự nhiên,14.095585
hương liêu,hương,4.0769987
hương vani tự nhiên,hương vani tự nhiên có thể chứa các loại hạt khác,24.177416
hương vani tự nhiên,vani tự nhiên,22.74886
bột sữa nguyên chất,sữa nguyên chất,26.012575
bột sữa nguyên chất,bột sữa bỏ nguyên chất,23.491661
hương bò tổng hợp dùng cho thực phẩm,hương tổng hợp dùng cho thực phẩm,39.70467
hương bò tổng hợp dùng cho thực phẩm,hương chanh tổng hợp dùng cho thực phẩm,38.30933
calc lactat,canxi lactat,9.871138
calc lactat,kẽm lactat,9.871138
yến mạch nguyên chất nhập khẩu từ úc,yến mạch nguyên chất  nguyên liệu nhập khẩu từ úc,62.095875
yến mạch nguyên chất nhập khẩu từ úc,yến mạch nguyên cám nhập khẩu từ úc,59.256832
e1100,"e1100 ,  , amylases",23.579136
e1100,alpha amylase e1100,10.672695
men streptococcus themophilus,men streptococcus,20.381659
men streptococcus themophilus,men streptococcus thermophylus,19.361984
kem xốp,chất xốp,9.63369
kem xốp,da xốp,9.63369
white wine,white sugar,10.52426
white wine,white sesame,10.52426
hạt pepita,hạt,6.613532
hạt pepita,hạt mè,6.183096
không chứa chất bảo quản,không chất bảo quản,32.944546
không chứa chất bảo quản,không có chất bảo quản,31.483337
yaourt au lait en poudre,lait en poudre,32.75666
yaourt au lait en poudre,crème en poudre,18.713072
"e471 , Mono và diglycerid của các acid béo , Mono- and Di- glycerides of fatty acids",mono and di glycerides of fatty acids,87.99144
"e471 , Mono và diglycerid của các acid béo , Mono- and Di- glycerides of fatty acids",tartaic acid esters of mono and di glycerides of fatty acids,62.136147
hoa mộc miên,hoa rum,8.717219
hoa mộc miên,hoa nhài,8.717219
bột số cô la,số cô la,28.927551
bột số cô la,sirô số cô la,27.67565
di soia,lecitina di soia,21.89414
di soia,farina di soia,21.89414
trung quốc,trung,12.648787
trung quốc,hàn quốc,8.418894
đại táo,đắc đại táo,21.975811
đại táo,đại hái,10.52426
ng cô đặc,phần cô đặc,13.337074
ng cô đặc,đào cô đặc,13.337074
gia vị hạt sen,ga vị hạt sen,33.272408
gia vị hạt sen,hạt sen,22.352757
mạch nha đại mạch,mạch nha đại mạch đức,39.565575
mạch nha đại mạch,mạch nha lúa đại mạch,33.010677
enzym ins transglutaminase,enzym transglutaminase,21.276026
enzym ins transglutaminase,transglutaminase,11.500251
siro ngô dạng rắn,dạng rắn,24.20099
siro ngô dạng rắn,sữa dạng rắn,23.037544
chiết xuất dầu hào,chiết xuất dầu hào p,33.146156
chiết xuất dầu hào,dầu hào,23.15956
nước bảo hòa co2,nước bão hòa co2,25.764364
nước bảo hòa co2,nước bão hào hòa co2,24.58984
mang đến những hạt bắp thơm ngon,mang đến hương vị thơm ngon,42.231644
mang đến những hạt bắp thơm ngon,thành phần từ những hạt bắp chất lượng,19.698223
calci d pantothenate,caldum d pantothenate,23.187712
calci d pantothenate,calcium d pantothenate,23.187712
protein thủy phân từ lúa mị,protein thủy phân từ đậu nành,38.198277
protein thủy phân từ lúa mị,protein thủy phân,30.990461
màu thực phẩm giống tự nhiên  từ hạt cà phê,màu thực phẩm giống tự nhiên,42.377308
màu thực phẩm giống tự nhiên  từ hạt cà phê,từ hạt cà phê nguyên chất,28.933546
dry whole milk,dry weight,11.025056
dry whole milk,dry roasted peanuts,10.351349
cốt lết heo,cốt gum,9.431559
cốt lết heo,cốt gôm,9.431559
bột hương phô mai,bột whey hương phô mai,28.637249
bột hương phô mai,hương phô mai,27.596867
sản phẩm có chứa bột lúa mì,sản phẩm có chứa bột mì,36.46933
sản phẩm có chứa bột lúa mì,thành phần có chứa bột lúa mì,35.886665
các gia vị sấy,các gia vị,26.611258
các gia vị sấy,các gia vị ớt,25.51756
đồng gluconat,đồng,10.704107
đồng gluconat,gluconat,10.558317
trà xanh matcha,bột trà xanh matcha,31.332306
trà xanh matcha,trà xanh,18.74839
may contain gluten and soya,wheat gluten and soya,34.75145
may contain gluten and soya,may contain gluten,32.290543
"e225 , Kali sulfit , Potassium sulfite","e221 , Natri sulfit , Sodium sulfite",14.563455
"e225 , Kali sulfit , Potassium sulfite","e222 , Natri hydro sulfit , Sodium hydrogen sulfite",13.261097
"e380 , Triamoni citrat , Triammonium citrate","e484 , Stearyl citrat , Stearyl citrate",13.160765
"e380 , Triamoni citrat , Triammonium citrate","e332_ii , Trikali citrat , Tripotassium citrate",13.160765
"e322_i , Lecithin , Lecithin",lecithin,42.647045
"e322_i , Lecithin , Lecithin",lecithin e322_i,28.222046
thịt lợn nạc,thịt lợn,19.418869
thịt lợn nạc,thịt bò nạc,17.052422
dầu hoa hướng dương,hoa hướng dương,31.17213
dầu hoa hướng dương,chiết xuất hoa hướng dương,28.63343
chất tạo màu được phép sử dụng,hương liệu phẩm màu được phép sử dụng,48.16362
chất tạo màu được phép sử dụng,có chứa chất ổn định được phép sử dụng,35.15646
bột chế biến,tinh bột chế biến,30.4937
bột chế biến,bột chế biến từ sữa,23.921818
nấm rơm khô,nấm rơm,21.033068
nấm rơm khô,nấm rơm sấy thăng hoa,18.155003
giấm,bột giấm,11.367317
giấm,gia vị giấm,10.672695
đầu tương bột mi,đầu tương,22.893827
đầu tương bột mi,bột mi,21.78798
chất nhũ hóa ins,chất nhũ hóa,19.340982
chất nhũ hóa ins,chất nhũ hóa syrup,18.486809
natri caseinat protein từ sữa sugar chất ổn định,chất ổn định,24.38908
natri caseinat protein từ sữa sugar chất ổn định,ba chất ổn định,23.314812
sodium polyphosphate,"e452_i , Natri polyphosphat , Sodium polyphosphate",25.909702
sodium polyphosphate,e340_ii sodium polyphosphate,22.767353
hương hành hương tiêu,hương tiêu,26.524893
hương hành hương tiêu,hương hành,14.1401005
hỗn hợp hương dâu việt quất tự nhiên,hỗn hợp hương dâu giống tự nhiên,36.34426
hỗn hợp hương dâu việt quất tự nhiên,việt quất tự nhiên,30.585281
artificial partially,artificial coloring,9.340734
artificial partially,artificial  colour,9.340734
starter culture,lactic culture,11.825552
farina di frumento maltato,farina di frumento,35.4545
farina di frumento maltato,farina di frumento integrale,33.92958
bột gừng được chiết xuất từ  củ gừng già,màu tự nhiên được chiết xuất từ,21.071444
bột gừng được chiết xuất từ  củ gừng già,màu tự nhiên được chiết xuất từ cà rốt,19.613369
chất điều chỉnh độ acid330,chất điều chỉnh độ,24.622599
chất điều chỉnh độ acid330,chất điều chỉnh độ åcid,23.628695
dinatri e5' inosinat,dinatri e5 inosinat,40.380196
dinatri e5' inosinat,dinatri e5' guanylat dinatri e5' inosinat,36.908604
melon hương dưa lưới,melon hương dưa hấu,35.307026
melon hương dưa lưới,hương dưa lưới,32.54934
bột đậu nành lên men,bột polysaccharide đậu nành lên men,33.371983
bột đậu nành lên men,đậu nành lên men,32.72948
poudre de paprika,extrait de paprika,21.911865
poudre de paprika,extraits de paprika,21.911865
lúa mỳ kibble,lúa mỳ,20.040276
lúa mỳ kibble,bột lúa mỳ,9.151622
tocopherol tự nhiên,hỗn hợp tocopherol tự nhiên,21.833477
tocopherol tự nhiên,tự nhiên,10.15502
"e954_iii , Kali saccharin , Potassium saccharin","e954_i , Saccharin , Saccharin",23.704643
"e954_iii , Kali saccharin , Potassium saccharin","e954_iv , Natri saccharin , Sodium saccharin",22.117779
susu bubuk,susu skim bubuk,22.205858
tổ yến thiên nhiên làm sạch,tổ yến thiên nhiên,44.68114
tổ yến thiên nhiên làm sạch,tổ yến,22.233353
chân nấm đông cô,nấm đông cô,32.92056
chân nấm đông cô,bột nấm đông cô,31.509144
invert sugar syrup,caramel sugar syrup,21.82807
invert sugar syrup,syrup,8.86831
bớt tiêu chất chống oxy hóa,chất chống oxy hóa,30.809538
bớt tiêu chất chống oxy hóa,e331_ii chất chống oxy hóa,29.59411
mẫu thực phẩm tổng hợp caramen nhóm iii,phẩm màu tổng hợp caramen nhóm iii,39.852364
mẫu thực phẩm tổng hợp caramen nhóm iii,gồm màu tổng hợp caramen nhóm iii,39.852364
muốii ốt,muốii,12.158652
muốii ốt,muốii lod,11.367317
có chứa cá,có thể chứa cá,23.427502
có chứa cá,sản phẩm có chứa cá,23.40839
chiết xuất từ cá,dịch chiết xuất từ cá,30.26099
chiết xuất từ cá,dẫn xuất từ cá,25.78955
natural pepper flavouring with other natural flavourings,flavourings,12.158652
natural pepper flavouring with other natural flavourings,artiticial flavourings,11.367317
chất ổn định trisodium diphosphate,chất ổn định,19.135927
chất ổn định trisodium diphosphate,"e450_ii , Trinatri diphosphat , Trisodium diphosphate",19.086021
"e264 ,  , ammonium acetate","e349 ,  , ammonium malate",13.849744
"e264 ,  , ammonium acetate","e359 ,  , ammonium adipates",13.849744
chất tạo xốp e500_ii,tạo xốp e500_ii,32.604156
chất tạo xốp e500_ii,bột tạo xốp e500_ii,31.215458
bột kem pha cà phê có chứa sữa contain milk,bột kem pha cà phê,46.835537
bột kem pha cà phê có chứa sữa contain milk,có chứa sữa contain milk,46.432487
oat flakes,oat,12.648787
oat flakes,coconut flakes,11.825552
hạt tiêu xay,hạt tiêu,18.38976
hạt tiêu xay,hạt tiêu đen,17.437578
may contain almonds,may contain hazelnuts and almonds,26.891985
may contain almonds,may contain peanuts and almonds,26.891985
phẩm màu tong hop,màu tong hop,33.481987
phẩm màu tong hop,phẩm mau tong hop,25.039215
non dairy creamer,chất béo từ thực vật non dairy creamer,31.25771
non dairy creamer,non dairy,23.91665
có  bánh sôcôla trong hộp,có  bánh kẹp kem trong hộp,36.31202
có  bánh sôcôla trong hộp,có  bánh sô cô la trong hộp,34.81885
dầu dừa hidro hóa,dầu dừa hydro hóa,20.118473
dầu dừa hidro hóa,dầu dừa hyđrô hóa,20.118473
mascarpone powder,chili powder,7.3779764
mascarpone powder,cinnamon powder,7.3779764
tinh chất đào cô đặc,tinh chất táo cô đặc,26.543188
tinh chất đào cô đặc,đào cô đặc,26.430025
tinh chất mía đường,mía đường,21.829277
tinh chất mía đường,tinh chất táo,15.828802
thân  rệ,thân,12.648787
dioxyric vô định hình,dioxyd silic vô định hình,32.427094
dioxyric vô định hình,dioxyd sille vô định hình,32.427094
thịt nạc heo xay,thịt nạc heo,31.835075
thịt nạc heo xay,thịt heo xay,27.23233
muối bi đường tinh luyện,đường tinh luyện,28.627531
muối bi đường tinh luyện,muối tinh luyện,22.45642
papain,"e1101_ii , Papain , Papain",28.532936
bánh bột ngô nướng,bột ngô,9.340734
bánh bột ngô nướng,hương nướng,8.833194
không sử dụng loại đổi gen,không sử dụng loại biến đổi gen,53.38907
không sử dụng loại đổi gen,không sử dụng loại gây biến đổi gen,51.4193
crème au chocolat,crème au lait,23.871334
crème au chocolat,chocolat,11.792564
có thể có sữa,có thể có chứa sữa,26.491014
có thể có sữa,có thể có chứa,22.172663
màu điều tự nhiên,màu điều,18.43925
màu điều tự nhiên,màu tự nhiên,15.030939
phẩm màu thực vật,phẩm màu thực phẩm,23.14508
phẩm màu thực vật,phẩm màu thực phẩm fd,22.194836
đường re men streptococcus thermophilus,men streptococcus thermophilus,34.160927
đường re men streptococcus thermophilus,streptococcus thermophilus,23.008081
muối i ốt chất bảo quản,muối i ốt chất giữ màu,35.35614
muối i ốt chất bảo quản,muối i ốt chất tạo xốp,35.35614
chất làm dày e413,chất làm dày,20.813452
chất làm dày e413,chất làm dày e1412,19.87959
hưởng tự nhiên,hưởng giống tự nhiên,17.939985
