query,match,score,jacc_score
chất điều chỉnh độ acid,blend baking powder b201 chất điều chỉnh độ acid,28.71056,1.0
chất điều chỉnh độ acid,chất điều chỉnh asifier hix độ acid,27.034714,1.0
chất điều chỉnh độ acid,chất điều chỉnh độ,26.333069,0.8
chất điều chỉnh độ acid,chất điều chỉnh độ axit,25.192732,0.8
chất nhũ hóa,chất nhũ hóa lecithin,17.452234,1.0
chất nhũ hóa,chất nhũ hóa mono,17.452234,1.0
chất nhũ hóa,muối chất nhũ hóa,17.452234,1.0
chất nhũ hóa,chất nhũ hóa ii,17.452234,1.0
chất nhũ hóa,chất nhũ hóa cinaligosacchand,17.452234,1.0
chất nhũ hóa,chất nhũ hóa monoglycerides,17.452234,1.0
chất nhũ hóa,chứa chất nhũ hóa,17.452234,1.0
chất nhũ hóa,có chứa chất nhũ hóa,16.635914,1.0
chất nhũ hóa,hỗn hợp chất nhũ hóa,16.635914,1.0
bột mì,tinh bột mì,9.3077965,1.0
bột mì,gluten bột mì,9.3077965,1.0
bột mì,chứa bột mì,9.3077965,1.0
bột mì,bột mì tinh,9.3077965,1.0
bột mì,protein bột mì,9.3077965,1.0
bột mì,gluten từ bột mì,8.755813,1.0
bột mì,có chứa bột mì,8.755813,1.0
bột mì,bột mì nguyên cám,8.755813,1.0
bột mì,bột mì mạch nha,8.755813,1.0
dầu thực vật,dầu thực vật từ,17.101254,1.0
dầu thực vật,đường dầu thực vật,17.101254,1.0
dầu thực vật,dầu thực vật đường,17.101254,1.0
dầu thực vật,dầu thực vật tinh luyện,16.308952,1.0
dầu thực vật,dầu thực vật hydro hóa,16.308952,1.0
dầu thực vật,hỗn hợp dầu thực vật,16.308952,1.0
dầu thực vật,dầu thực vật tỉnh luyện,16.308952,1.0
dầu thực vật,dầu thực vật hỗn hợp,16.308952,1.0
dầu thực vật,dầu thực vật không hydro hóa,15.59252,1.0
chất bảo quản,chất bảo quản e,21.240519,1.0
chất bảo quản,không chất bảo quản,21.240519,1.0
chất bảo quản,i chất bảo quản,21.240519,1.0
chất bảo quản,chất bảo quản kali sorbat,20.208607,1.0
chất bảo quản,chất bảo quản tự nhiên,20.208607,1.0
chất bảo quản,chất bảo quản kali mentabisulfit,20.208607,1.0
chất bảo quản,hỗn hợp chất bảo quản,20.208607,1.0
chất bảo quản,không có chất bảo quản,20.208607,1.0
chất bảo quản,không sử dụng chất bảo quản,19.278557,1.0
đậu nành,dầu đậu nành,10.661217,1.0
đậu nành,đạm đậu nành,10.661217,1.0
đậu nành,protein đậu nành,10.661217,1.0
đậu nành,bột đậu nành,10.661217,1.0
đậu nành,từ đậu nành,10.661217,1.0
đậu nành,lecitin đậu nành,10.661217,1.0
đậu nành,tương đậu nành,10.661217,1.0
đậu nành,lecithin đậu nành,10.661217,1.0
đậu nành,viên đậu nành,10.661217,1.0
dầu cọ,dầu cọ olein,12.4838295,1.0
dầu cọ,dầu cọ stearin,12.4838295,1.0
dầu cọ,muối dầu cọ,12.4838295,1.0
dầu cọ,olein dầu cọ,12.4838295,1.0
dầu cọ,từ dầu cọ,12.4838295,1.0
dầu cọ,dầu cọ e13,12.4838295,1.0
dầu cọ,bột dầu cọ,12.4838295,1.0
dầu cọ,dầu cọ tinh luyện,11.75495,1.0
dầu cọ,dầu cọ hydro hóa,11.75495,1.0
tỏi,bột tỏi,7.7113214,1.0
tỏi,tỏi tươi,7.7113214,1.0
tỏi,hương tỏi,7.7113214,1.0
tỏi,tỏi xay,7.7113214,1.0
tỏi,tỏi khô,7.7113214,1.0
tỏi,tỏi hành,7.7113214,1.0
tỏi,tỏi phi,7.7113214,1.0
tỏi,tỏi củ,7.7113214,1.0
tỏi,sốt tỏi,7.7113214,1.0
chất chống oxy hóa,với chất chống oxy hóa,25.84387,1.0
chất chống oxy hóa,chất chống oxy hóa e307b_,25.84387,1.0
chất chống oxy hóa,chứa chất chống oxy hóa,25.84387,1.0
chất chống oxy hóa,các chất chống oxy hóa,25.84387,1.0
chất chống oxy hóa,chất chống oxy hóa e,25.84387,1.0
chất chống oxy hóa,chất chống oxy hóa e325,25.84387,1.0
chất chống oxy hóa,chất chống oxy hóa tự nhiên,24.809168,1.0
chất chống oxy hóa,có chứa chất chống oxy hóa,24.809168,1.0
chất chống oxy hóa,chứa chất chống oxy hóa bha,24.809168,1.0
sữa,bột sữa sữa bột,5.291562,1.0
sữa,sữa bột từ sữa bò,5.063882,1.0
sữa,sữa hoàn nguyên từ sữa bột,4.8549857,1.0
sữa,sữa bột,4.7801933,1.0
sữa,bột sữa,4.7801933,1.0
sữa,sữa tươi,4.7801933,1.0
sữa,sữa bò,4.7801933,1.0
sữa,đạm sữa,4.7801933,1.0
sữa,protein sữa,4.7801933,1.0
ớt,bột ớt,6.4812417,1.0
ớt,tương ớt,6.4812417,1.0
ớt,ớt sấy,6.4812417,1.0
ớt,ớt tươi,6.4812417,1.0
ớt,ớt bột,6.4812417,1.0
ớt,ớt đỏ,6.4812417,1.0
ớt,dầu ớt,6.4812417,1.0
ớt,ớt chuông,6.4812417,1.0
ớt,ớt khô,6.4812417,1.0
chất tạo xốp,chất tạo xốp ins,19.078558,1.0
muối i ốt,muối không i ốt,22.386211,1.0
muối i ốt,muối tinh sấy bổ sung i ốt,18.97779,1.0
chất làm dày,chất làm dày ins,21.31654,1.0
chất làm dày,chất làm dày xanthangum,21.31654,1.0
chất làm dày,chất làm dày tinh bột khoai tây biến tính,16.94198,1.0
tiêu,bột tiêu,7.5645666,1.0
tiêu,tiêu đen,7.5645666,1.0
tiêu,hương tiêu,7.5645666,1.0
tiêu,hạt tiêu,7.5645666,1.0
tiêu,tiêu trắng,7.5645666,1.0
tiêu,tiêu sọ,7.5645666,1.0
tiêu,tiêu bột,7.5645666,1.0
tiêu,hoa tiêu,7.5645666,1.0
tiêu,tiêu hạt,7.5645666,1.0
maltodextrin,đường maltodextrin,9.992481,1.0
maltodextrin,bột maltodextrin,9.992481,1.0
maltodextrin,caramen nhóm maltodextrin,9.241746,1.0
maltodextrin,màu tự nhiên riboflavin maltodextrin,8.034481,1.0
chất tạo ngọt tổng hợp,chất tạo ngọt tổng hợp sucralose,26.443092,1.0
chất tạo ngọt tổng hợp,chất tạo ngọt tổng hợp acesulfam kali,25.517464,1.0
chất tạo ngọt tổng hợp,chất tạo ngọt tổng hợp acesulfame kali,25.517464,1.0
chất tạo ngọt tổng hợp,chất tạo ngọt tổng hợp lacesulfam kali,25.517464,1.0
chất tạo ngọt tổng hợp,chất tạo độ ngọt tổng hợp,23.758217,1.0
chất tạo ngọt tổng hợp,chất tạo ngọt aspartame tổng hợp,22.914064,1.0
chất tạo ngọt tổng hợp,chất tạo ngọt tổng hop,22.12167,0.8
chất tạo ngọt tổng hợp,chất tạo ngọt tổng hơp,22.12167,0.8
chất tạo ngọt tổng hợp,chất tạo ngọt acesulfam kali tổng hợp,21.893097,1.0
trứng,trứng gà,6.741823,1.0
trứng,bột trứng,6.741823,1.0
trứng,trứng tươi,6.741823,1.0
trứng,trứng muối,6.741823,1.0
trứng,trứng cút,6.741823,1.0
trứng,trứng sấy,6.741823,1.0
trứng,cá trứng,6.741823,1.0
trứng,trứng cá,6.741823,1.0
trứng,trứng vịt,6.741823,1.0
chiết xuất nấm men,bột chiết xuất nấm men,23.995491,1.0
chiết xuất nấm men,chất chiết xuất nấm men,23.995491,1.0
chiết xuất nấm men,chiết xuất nấm men dạng bột,23.02184,1.0
chiết xuất nấm men,dịch chiết nấm men,17.410627,0.75
chiết xuất nấm men,chất chiết nấm men,17.410627,0.75
chiết xuất nấm men,chiết xuất nấm hương,17.390057,0.75
chiết xuất nấm men,bột chiết xuất nấm hương,16.572208,0.75
chiết xuất nấm men,chiết xuất nấm đông cô,16.572208,0.75
chiết xuất nấm men,chiết xuất men,15.8978,0.75
nước mắm,bột nước mắm,12.973912,1.0
nước mắm,nước mắm cốt,12.973912,1.0
nước mắm,hương nước mắm,12.973912,1.0
nước mắm,nước mắm cá cơm,12.20631,1.0
nước mắm,nước mắm nguyên chất,12.20631,1.0
nước mắm,nước mắm cốt nhỉ,12.20631,1.0
nước mắm,hương nước mắm tổng hợp,11.5278015,1.0
nước mắm,nước mắm cốt cá cơm,11.5278015,1.0
nước mắm,cốt nước mắm cá cơm,11.5278015,1.0
sữa bột,bột sữa sữa bột,9.624031,1.0
sữa bột,sữa bột gầy,8.693051,1.0
sữa bột,sữa bột béo,8.693051,1.0
sữa bột,đường sữa bột,8.693051,1.0
sữa bột,nước sữa bột,8.693051,1.0
sữa bột,sữa bột cây,8.693051,1.0
sữa bột,sữa bột bột sầu riêng,8.67461,1.0
sữa bột,sữa bột từ sữa bò,8.403832,1.0
sữa bột,sữa bột nguyên kem,8.223646,1.0
lúa mì,bột lúa mì,11.98082,1.0
lúa mì,gluten lúa mì,11.98082,1.0
lúa mì,protein lúa mì,11.98082,1.0
lúa mì,cám lúa mì,11.98082,1.0
lúa mì,chứa lúa mì,11.98082,1.0
lúa mì,xơ lúa mì,11.98082,1.0
lúa mì,đạm lúa mì,11.98082,1.0
lúa mì,hạt lúa mì,11.98082,1.0
lúa mì,mầm lúa mì,11.98082,1.0
tinh bột khoai mì,tinh bột khoai mì biến tính,22.089378,1.0
tinh bột khoai mì,còn được gọi là tinh bột khoai mì,20.441383,1.0
tinh bột khoai mì,bột khoai mì,18.28594,0.75
tinh bột khoai mì,tinh bột khoai,17.724607,0.75
tinh bột khoai mì,tỉnh bột khoai mì,17.381279,0.75
tinh bột khoai mì,tinh bột khoai tây,16.837965,0.75
tinh bột khoai mì,tinh bột khoai lang,16.837965,0.75
tinh bột khoai mì,bột năng được tinh chế từ củ khoai mì,16.057035,1.0
tinh bột khoai mì,tinh bột khoai tây biến tính,15.327986,0.75
chất điều chỉnh độ axit,gelatin chất điều chỉnh độ axit,32.586536,1.0
chất điều chỉnh độ axit,đường chất điều chỉnh độ axit,32.586536,1.0
chất điều chỉnh độ axit,đường dextrose monohydrate chất điều chỉnh độ axit,30.265907,1.0
chất điều chỉnh độ axit,chất điều chỉnh độ chua axit citric,28.460974,1.0
chất điều chỉnh độ axit,chất điều chỉnh độ,26.333069,0.8
chất điều chỉnh độ axit,chất điều chỉnh độ độ acid,26.052122,0.8
chất điều chỉnh độ axit,chất điều chỉnh độ acid,25.192732,0.8
chất điều chỉnh độ axit,chất điều chỉnh độ chua,25.192732,0.8
chất điều chỉnh độ axit,chất điều chỉnh độ axít,25.192732,0.8
phẩm màu tự nhiên,phẩm màu  tự nhiên,20.279495,1.0
phẩm màu tự nhiên,phẩm màu tự nhiên caramel,19.448656,1.0
phẩm màu tự nhiên,phẩm màu curcumin tự nhiên,16.953354,1.0
phẩm màu tự nhiên,phẩm màu caramen tự nhiên,16.953354,1.0
phẩm màu tự nhiên,màu tự nhiên dùng cho thực phẩm,16.26546,1.0
phẩm màu tự nhiên,thực phẩm màu dầu tự nhiên,16.09986,1.0
phẩm màu tự nhiên,phẩm màu paprika oleoresin tự nhiên,16.09986,1.0
phẩm màu tự nhiên,màu thực phẩm tự nhiên,15.858297,1.0
phẩm màu tự nhiên,màu tự nhiên,15.762804,0.75
đường tinh luyện,đường tinh luyện re,18.953072,1.0
đường tinh luyện,muối bi đường tinh luyện,18.068878,1.0
đường tinh luyện,đường kính trắng tinh luyện,16.017185,1.0
muối ăn,gói gia vị muối ăn,13.673897,1.0
màu tự nhiên,phẩm màu tự nhiên,15.029274,1.0
màu tự nhiên,chất màu tự nhiên,15.029274,1.0
màu tự nhiên,màu tự nhiên riboflavin,15.029274,1.0
màu tự nhiên,phẩm màu  tự nhiên,15.029274,1.0
màu tự nhiên,màu tự nhiên carmin,15.029274,1.0
màu tự nhiên,màu tự nhiên carotene,15.029274,1.0
màu tự nhiên,vừng màu tự nhiên,15.029274,1.0
màu tự nhiên,chất tạo màu tự nhiên,14.366863,1.0
màu tự nhiên,màu tự nhiên beta caroten,14.366863,1.0
hành,hành tây,6.22463,1.0
hành,hành tím,6.22463,1.0
hành,hành lá,6.22463,1.0
hành,bột hành,6.22463,1.0
hành,hành tươi,6.22463,1.0
hành,hương hành,6.22463,1.0
hành,hành phi,6.22463,1.0
hành,củ hành,6.22463,1.0
hành,hành tim,6.22463,1.0
chất chống đông vón,chất chống đông vón e55,29.10954,1.0
chất chống đông vón,chất chống đông vón silic dioxide,27.88785,1.0
chất chống đông vón,chất chống đông vón tokusil fc,27.88785,1.0
chất chống đông vón,chất chống đông vốn,19.586708,0.75
chất chống đông vón,chất chống đông vòn,19.586708,0.75
chất chống đông vón,chất chống vón,19.196503,0.75
chất chống đông vón,chất chống đồng vón,17.961094,0.75
chất chống đông vón,chất chống động vón,17.961094,0.75
chất chống đông vón,chất chống đóng vón,17.961094,0.75
gia vị,các gia vị,11.0328455,1.0
gia vị,bột gia vị,11.0328455,1.0
gia vị,gói gia vị,11.0328455,1.0
gia vị,súp gia vị,11.0328455,1.0
gia vị,gia vị phở,11.0328455,1.0
gia vị,dầu gia vị,11.0328455,1.0
gia vị,gia vị ớt,11.0328455,1.0
gia vị,muối gia vị,11.0328455,1.0
gia vị,gia vị bò,11.0328455,1.0
gạo,bột gạo,6.2987576,1.0
gạo,bánh gạo,6.2987576,1.0
gạo,gạo thơm,6.2987576,1.0
gạo,gạo japonica,6.2987576,1.0
gạo,gạo lứt,6.2987576,1.0
gạo,dầu gạo,6.2987576,1.0
gạo,gạo trắng,6.2987576,1.0
gạo,gạo nếp,6.2987576,1.0
gạo,gạo lức,6.2987576,1.0
cà rốt,cà rốt sấy,14.412952,1.0
cà rốt,cà rốt khô,14.412952,1.0
cà rốt,cà rốt đen,14.412952,1.0
cà rốt,bột cà rốt,14.412952,1.0
cà rốt,cà rốt tươi,14.412952,1.0
cà rốt,màu cà rốt đen,13.58065,1.0
cà rốt,nước ép cà rốt,13.58065,1.0
cà rốt,bột xơ cà rốt,13.58065,1.0
cà rốt,cà rốt hành lá,13.58065,1.0
thịt heo,bột thịt heo,12.740566,1.0
thịt heo,thịt heo bằm,12.740566,1.0
thịt heo,đạm thịt heo,12.740566,1.0
thịt heo,thịt heo xay,12.740566,1.0
thịt heo,thịt heo sấy,12.740566,1.0
thịt heo,thịt heo tươi,12.740566,1.0
thịt heo,thịt heo nạc,12.740566,1.0
thịt heo,thịt heo nạc xay,12.010506,1.0
thịt heo,chiết xuất thịt heo,12.010506,1.0
tổng hợp,hỗn hợp hương tổng hợp,9.103472,1.0
tổng hợp,màu tổng hợp,9.005044,1.0
tổng hợp,hương tổng hợp,9.005044,1.0
tổng hợp,màu  tổng hợp,9.005044,1.0
tổng hợp,hướng tổng hợp,9.005044,1.0
tổng hợp,vitamin tổng hợp,9.005044,1.0
tổng hợp,tổng hợp thương,9.005044,1.0
tổng hợp,i tổng hợp,9.005044,1.0
tổng hợp,vani tổng hợp,9.005044,1.0
phẩm màu tổng hợp,phẩm màu tổng hợp caramen nhóm iii,17.80405,1.0
phẩm màu tổng hợp,phẩm màu tổng hợp có nguồn gốc tự nhiên,16.58325,1.0
phẩm màu tổng hợp,phẩm màu thực phẩm tổng hợp,16.468328,1.0
phẩm màu tổng hợp,màu tổng hợp dùng trong thực phẩm,16.079065,1.0
phẩm màu tổng hợp,phẩm màu beta caroten tổng hợp,15.901,1.0
phẩm màu tổng hợp,màu thực phẩm tổng hợp,15.64525,1.0
phẩm màu tổng hợp,màu tổng hợp,15.514594,0.75
phẩm màu tổng hợp,màu  tổng hợp,15.514594,0.75
phẩm màu tổng hợp,chất tạo màu tổng hợp dùng cho thực phẩm,14.81387,1.0
b6,vitamin b6,10.633108,1.0
b6,e b6,10.633108,1.0
e,vitamin e,8.523962,1.0
e,e b6,8.523962,1.0
e,e c,8.523962,1.0
e,e01_vitamin e,8.523962,1.0
e,vitamine e,8.523962,1.0
e,màu e,8.523962,1.0
e,vitamin e acetat,7.8835554,1.0
e,axit citric e,7.8835554,1.0
e,chất bảo quản e,7.332652,1.0
tinh bột khoai tây,tinh bột khoai tây biến tính,22.86663,1.0
tinh bột khoai tây,tinh bột khoai tây protein cô đặc từ thịt,20.368036,1.0
tinh bột khoai tây,chất làm dày tinh bột khoai tây biến tính,20.368036,1.0
tinh bột khoai tây,bột khoai tây,19.238377,0.75
tinh bột khoai tây,tỉnh bột khoai tây,18.26716,0.75
tinh bột khoai tây,bột khoai tây tím,18.26716,0.75
tinh bột khoai tây,tinh bột khoai,17.724607,0.75
tinh bột khoai tây,tinh bột khoai mì,16.837965,0.75
tinh bột khoai tây,tinh bột khoai lang,16.837965,0.75
vắt mì,bao gồm vắt mì,15.029633,1.0
tinh bột bắp,tinh bột bắp biến tinh,15.938253,1.0
tinh bột bắp,tinh bột bắp biến tính,15.532021,1.0
tinh bột bắp,thực vật đầu cọ tinh bột bắp,14.225334,1.0
tinh bột bắp,được tinh chế từ bột bắp,12.704317,1.0
màu thực phẩm tổng hợp,phẩm màu thực phẩm tổng hợp,24.535748,1.0
màu thực phẩm tổng hợp,màu thực phẩm tổng hợp caramel c,23.335018,1.0
màu thực phẩm tổng hợp,màu thực phẩm tổng hợp ponceau e4r,23.335018,1.0
màu thực phẩm tổng hợp,màu thực phẩm tổng hợp sunset yellow,23.335018,1.0
màu thực phẩm tổng hợp,màu thực phẩm tổng hop,20.150902,0.8
màu thực phẩm tổng hợp,chất tạo màu thực phẩm beta caroten tổng hợp,19.303984,1.0
màu thực phẩm tổng hợp,hương thực phẩm tổng hợp,19.029545,0.8
màu thực phẩm tổng hợp,hướng thực phẩm tổng hợp,19.029545,0.8
màu thực phẩm tổng hợp,màu tổng hợp dùng trong thực phẩm,18.857094,1.0
dầu đậu nành,dầu đậu nành tinh luyện,15.404442,1.0
dầu đậu nành,dầu đậu nành nguyên chất,15.404442,1.0
dầu đậu nành,dầu đậu nành hydro hóa,15.404442,1.0
dầu đậu nành,dầu đậu nành nguyên chất tinh luyện,14.135947,1.0
dầu đậu nành,bột đậu nành đã khử dầu,12.787531,1.0
dầu đậu nành,dầu thực vật đạm đậu nành,12.787531,1.0
mạch nha,mạch nha maltose,14.740565,1.0
mạch nha,mạch nha glucose,14.740565,1.0
mạch nha,đường mạch nha,14.740565,1.0
mạch nha,bột mạch nha,14.740565,1.0
mạch nha,mạch nha fructose,14.740565,1.0
mạch nha,mạch nha lúa mạch,14.635151,1.0
mạch nha,mạch nha đại mạch,14.635151,1.0
mạch nha,chiết xuất mạch nha,13.893532,1.0
mạch nha,mạch nha isomalto oligo,13.893532,1.0
bột ớt,bột ớt đỏ,9.945008,1.0
bột ớt,bột ớt khô,9.945008,1.0
bột ớt,bột ớt paprika,9.945008,1.0
bột ớt,bột ớt sừng,9.945008,1.0
bột ớt,bột ớt cay,9.945008,1.0
bột ớt,ớt bột,9.88969,1.0
bột ớt,bột ớt đỏ nghiền,9.3484955,1.0
bột ớt,gói ớt bột,9.146677,1.0
bột ớt,ớt bột khô,9.146677,1.0
a,vitamin a,8.273186,1.0
a,b2 a,8.273186,1.0
a,a lactalbumin,8.273186,1.0
a,vitamin a palmitat,7.651621,1.0
a,vitamin a acetat,7.651621,1.0
a,cochineal red a,7.651621,1.0
a,vitamin a palmitate,7.651621,1.0
a,vitamin a axetat,7.651621,1.0
a,vitamin a pamitat,7.651621,1.0
hành tây,bột hành tây,13.524445,1.0
hành tây,hành tây sấy,13.524445,1.0
hành tây,dầu hành tây,13.524445,1.0
hành tây,hành tây e0,13.524445,1.0
hành tây,chiết xuất hành tây,12.759139,1.0
hành tây,bột hành tây rang,12.759139,1.0
hành tây,bột hành tây sấy rang,12.079346,1.0
hành tây,bột bắp cái bột hành tây,11.471018,1.0
hành tây,gia vị hạt cần này bột hành tây,10.426762,1.0
chất béo sữa,chất béo sữa khan,15.537135,1.0
chất béo sữa,chất béo sữa dạng khan,14.82616,1.0
chất béo sữa,chất béo sữa chất nhũ hóa,14.475227,1.0
chất béo sữa,chất béo từ sữa,13.562605,1.0
chất béo sữa,chất béo từ sữa bò tươi,12.062578,1.0
chất béo sữa,hàm lượng béo sữa tính theo chất khô,11.55675,1.0
bơ,bơ cacao,7.349402,1.0
bơ,hương bơ,7.349402,1.0
bơ,dầu bơ,7.349402,1.0
bơ,bơ sữa,7.349402,1.0
bơ,bơ lạt,7.349402,1.0
bơ,bơ tinh,7.349402,1.0
bơ,bột bơ,7.349402,1.0
bơ,bơ pháp,7.349402,1.0
bơ,bơ tươi,7.349402,1.0
tôm,bột tôm,7.271719,1.0
tôm,tôm khô,7.271719,1.0
tôm,mắm tôm,7.271719,1.0
tôm,tôm chua,7.271719,1.0
tôm,thịt tôm,7.271719,1.0
tôm,tôm sấy,7.271719,1.0
tôm,hương tôm,7.271719,1.0
tôm,dịch tôm,7.271719,1.0
tôm,tôm cua,7.271719,1.0
vitamin,vitamin b1 vitamin b2,7.614021,1.0
vitamin,vitamin c,6.878213,1.0
vitamin,các vitamin,6.878213,1.0
vitamin,vitamin e,6.878213,1.0
vitamin,vitamin a,6.878213,1.0
vitamin,vitamin d3,6.878213,1.0
vitamin,vitamin b12,6.878213,1.0
vitamin,vitamin b6,6.878213,1.0
vitamin,vitamin b1,6.878213,1.0
gừng,bột gừng,8.828854,1.0
gừng,gừng tươi,8.828854,1.0
gừng,nước gừng,8.828854,1.0
gừng,củ gừng,8.828854,1.0
gừng,sốt gừng,8.828854,1.0
gừng,siro gừng,8.828854,1.0
gừng,chiết xuất gừng,8.165541,1.0
gừng,tinh chất gừng,8.165541,1.0
gừng,củ gừng già,8.165541,1.0
d3,vitamin d3,10.633108,1.0
d3,dry vitamin d3,9.834243,1.0
hành lá sấy,hành lá sấy thăng hoa,20.297598,1.0
hành lá sấy,lá hành sấy,18.426928,1.0
nước tương,bột nước tương,12.079927,1.0
nước tương,sốt nước tương,12.079927,1.0
nước tương,nước tương shoyo,12.079927,1.0
nước tương,nước tương e17,12.079927,1.0
nước tương,gia vị nước tương,11.374798,1.0
nước tương,nước tương đậu nành,11.374798,1.0
nước tương,nước tương lên men,11.374798,1.0
nước tương,nước tương cô đặc,11.374798,1.0
nước tương,bột nước tương rang,11.374798,1.0
shortening,dầu shortening,9.992481,1.0
shortening,dâu shortening,9.992481,1.0
shortening,shortening thực vật,9.241746,1.0
shortening,shortening từ động vật,8.595932,1.0
bột tỏi,bột hương tỏi tổng hợp,8.94088,1.0
b1,vitamin b1,9.992481,1.0
b1,vitamin b1 dilaurylsulfate,9.241746,1.0
b1,vitamin b1 dilaurysulfate,9.241746,1.0
b1,vitamin b1 vitamin b2,8.595932,1.0
chất béo thực vật,chất béo thực vật hydro hóa,21.291574,1.0
chất béo thực vật,chất béo thực vật từ cọ,21.291574,1.0
chất béo thực vật,chất béo thực vật chất ổn định,20.779041,1.0
chất béo thực vật,chất béo thực vật đã hydrat hóa,20.468126,1.0
chất béo thực vật,không chất béo thực vật đã hydro hóa,19.710596,1.0
chất béo thực vật,chất béo thực vật hydro hóa hoàn toàn,19.710596,1.0
chất béo thực vật,cacao ca cao khối chất béo thực vật,19.710596,1.0
chất béo thực vật,chất béo thực vật hydro hóa một phần,19.710596,1.0
chất béo thực vật,kem béo thực vật,18.684067,0.75
mononatri glutamat,chất điều vị mononatri glutamat,16.541586,1.0
mononatri glutamat,mononatri glutamat tinh khiết e99,16.541586,1.0
mononatri glutamat,mononatri l glutamat,16.496273,1.0
mononatri glutamat,chất điều vị mononatri l glutamat,13.462054,1.0
chất chống oxy hoá,chất chống oxy hoá tocopherols hỗn hợp,25.60816,1.0
chất chống oxy hoá,chất chống oxy hoá tocopherol dạng hỗn hợp,24.63772,1.0
chất chống oxy hoá,chất chống oxy hóa,19.051,0.75
chất chống oxy hoá,chất chống oxy hoa,19.051,0.75
chất chống oxy hoá,với chất chống oxy hóa,18.12718,0.75
chất chống oxy hoá,chất chống oxy hóa e307b_,18.12718,0.75
chất chống oxy hoá,chứa chất chống oxy hóa,18.12718,0.75
chất chống oxy hoá,các chất chống oxy hóa,18.12718,0.75
chất chống oxy hoá,chất chống oxy hóa e,18.12718,0.75
bột gạo,tinh bột gạo,9.776234,1.0
bột gạo,bột gạo nếp,9.776234,1.0
bột gạo,bột gạo rang,9.776234,1.0
bột gạo,bột gạo lứt,9.776234,1.0
bột gạo,bột gạo lức,9.776234,1.0
bột gạo,bột gạo hữu cơ,9.191515,1.0
bột gạo,bột gạo đỏ lên men,8.675261,1.0
bột gạo,bột gạo lức trái cây sấy,8.215798,1.0
bột gạo,bột gạo lức quả sấy khô,8.215798,1.0
hành tím,hành tím phi,15.489758,1.0
hành tím,bột hành tím,15.489758,1.0
hành tím,hành tím khô,15.489758,1.0
hành tím,củ hành tím sấy,14.587116,1.0
hành tím,hương hành tím tự nhiên,13.787928,1.0
hành tím,hương hành tím phi tổng hợp,13.074844,1.0
bột cacao,bột cacao alkalise,10.823958,1.0
bột cacao,bột cacao gầy,10.823958,1.0
bột cacao,bột cacao giảm béo,10.166025,1.0
bột cacao,bột cacao kiềm hóa,10.166025,1.0
bột cacao,hỗn hợp bột cacao,10.166025,1.0
bột cacao,bột cacao ít béo,10.166025,1.0
bột cacao,bột cacao tách béo,10.166025,1.0
cá,dầu cá,5.6529503,1.0
cá,cá cơm,5.6529503,1.0
cá,cá ngừ,5.6529503,1.0
cá,thịt cá,5.6529503,1.0
cá,bột cá,5.6529503,1.0
cá,cá tra,5.6529503,1.0
cá,cá basa,5.6529503,1.0
cá,cá thu,5.6529503,1.0
