SKU,Product name,Source,ingredient,Net weight,Nutrition facts?,Serving per package,Serving size,Nutrition facts,
6990000129129,Lốc 6 Chai Nước Tăng Lực Pet Pepsi Sting Dâu Tây Đỏ 330ML,"topsmarket,bachhoaxanh","Nước bão hòa CO, đường HFCS, đường, chất điều chính độ axit (330, 331(l), hương đầu giống tự nhiên, hỗn hợp premix (Taurine, Caffeine (145-255 mg/L), Inositol, các Vitamin: B3, B6, B12), chất chống oxy hóa (452(i), 385), chất bảo quản (202,211), màu tổng hợp (Alura red AC 128), bột chiết xuất hồng sâm (40 mg/l)
Sản phẩm có thể không phù hợp với người nhạy cảm với caffeine, trẻ em và phụ nữ đang mang thai. ",330 ml,Yes,,330 ml,"energy,258 Kcal,carbohydrate,64.4 g,total sugars,64.4 g,sodium,105 mg,vitamin B3,7.3 mg,vitamin B6,1 mg,vitamin B12,0.5 µg,taurine,115mg,inositol,12.5mg",#VALUE!
8934588702112,Nước Ngọt 7Up Lon Bổ Sung Chất Xơ 320Ml,"topsmarket,bachhoaxanh","Nước bão hòa CO2, chất xơ hòa tan (13g/L), chất điều chỉnh đọ axit (330,331)(ii) (296), hương chanh tự nhiên, chất tạo ngọt tổng hợp (Aspartam 951, Sucrlose (Triclorofalacto sucose ) 955, Acesulfam kali 950), chất bảo quản (211)",320ml,Yes,,320ml,"energy,20 kcal,carbohydrate,5 g,sodium,60 mg,dietary fiber,3.94 g",#VALUE!
8936127790000,Nước Tinh Khiết TH True Water 350ML,"topsmarket,bachhoaxanh",Nước lọc tinh khiết,350 ml,No,,,,#VALUE!
8934588362118,Nước Ngọt Mirinda Vị Soda Kem 320ML,"topsmarket,bachhoaxanh","Nước bão hòa CO,, đường HFCS, đường, hưởng giống tự nhiên, chất điều chỉnh độ axit (330), Sodium chloride, chất bảo quản (211), màu tổng hợp (Tartrazine 102, Brilliant blue FCF 133)",320ml,Yes,,320ml,"energy,196 kcal,carbohydrate,49 g,total sugars,49 g,sodium,35 mg",#VALUE!
8934692070145,Bia Huda Ice Blast 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,Yes,,100 ml,"energy,37.5 kcal",#VALUE!
8934822835330,Lốc 6 Lon Bia Tiger Crystal 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,No,,,,#VALUE!
8934588873034,Lốc 6 Chai Trà Ô Long Tea Plus 455ML,"topsmarket,bachhoaxanh","Nước, đường, trà ô long 7,52 g/l (OTPP được trích ly tối thiểu 155 mg/l), hương giống tự nhiên, chất chống oxy hóa (300), chất điều chỉnh độ axit (500(ii))",455 ml,Yes,,100 ml,"energy,30.8 kcal,carbohydrate,7.7 g,otpp,>= 15,5 mg",#VALUE!
8934588293108,Trà Olong Chanh Tea Plus 1L,"topsmarket,bachhoaxanh","Nước, đường, trà ô long 7,52 g/l (OTPP được trích ly tối thiểu 155 mg/l), chất điều chỉnh độ axit (330, 331(iii), 500 (ii)), Vitamin C, hỗn hợp hương chanh giống tự nhiên, hương citrus tự nhiên
Sản phẩm được làm từ trà ô long tự nhiên, hiện tượng lắng cặn có thể xảy ra nhưng không ảnh hưởng tới chất lượng sản phẩm. ",1 l,Yes,,100 ml,"energy,44 kcal,carbohydrate,11 g,vitamin C,>= 8 g,otpp,>= 15,5 mg",#VALUE!
8936036201246,Bia Hoegaarden White 330ML,"topsmarket,bachhoaxanh","nước, lúa mạch, lúa mì, ngò rí, vỏ cam",330 ml,No,,,,#VALUE!
8936036201581,Bia Hoegaarden Rosee Lon 330ML,"topsmarket,bachhoaxanh","NƯỚC, MẠCH NHA, LÚA MÌ, ĐƯỜNG, NƯỚC ÉP TÁO CÔ ĐẶC, NƯỚC ÉP QUẢ MÂM XÔI CÔ ĐẶC, NƯỚC ÉP CÀ RỐT CÔ ĐẶC, HƯƠNG THỰC PHẨM TỰ NHIÊN, HOA HOUBLON, HẠT RAU MÙI, VỎ CAM, MEN BIA",330 ml,No,,,,#VALUE!
8936036201444,Bia Hoegaarden Rosee Lon 330ML,"topsmarket,bachhoaxanh","NƯỚC, MẠCH NHA, LÚA MÌ, ĐƯỜNG, NƯỚC ÉP TÁO CÔ ĐẶC, NƯỚC ÉP QUẢ MÂM XÔI CÔ ĐẶC, NƯỚC ÉP CÀ RỐT CÔ ĐẶC, HƯƠNG THỰC PHẨM TỰ NHIÊN, HOA HOUBLON, HẠT RAU MÙI, VỎ CAM, MEN BIA",330 ml,No,,,,#VALUE!
8934588010118,Lốc 6 Lon Nước Ngọt Có Gas Pepsi 320ML,"topsmarket,bachhoaxanh","Nước bão hòa CO2, đường HFCS, đường, màu tổng hợp (Caramen nhóm IV 150d), chất điều chỉnh độ axit (338), caffeine, chất ổn định (414), hỗn hợp hương tự nhiên",320 ml,Yes,,330 ml,"energy,144 kcal,carbohydrate,36 g,total fat,36 g,sodium,7 g",#VALUE!
8934588663277,Lốc 6 Chai Nước Ngọt Có Gas Pepsi Zero 390ML,"topsmarket,bachhoaxanh","Nước bão hòa CO2, màu tự nhiên (caramen nhóm má chất điều chỉnh độ acid (338, 331(iii), chất tạo ngọt tổng hợp (sucralose, acesulfame potassium), hương cola tự nhiên ,chất bảo quản (211), caffeine.
",390 ml,No,,,,#VALUE!
8934692070114,Bia Huda 330ML,"topsmarket,bachhoaxanh","Nước, ngũ cốc, đại mạch và hoa bia.",330 ml,Yes,,100ml,"energy,37.5 kcal",#VALUE!
8935049502245,Thùng 24 Lon Nước Ngọt Coca Cola 320ML,"topsmarket,bachhoaxanh","NƯỚC BÃO HÒA CO2, ĐƯỜNG MÍA, ĐƯỜNG HFCS, MÀU TỰ NHIÊN (CARAMEN NHÓM IV), CHẤT ĐIỀU CHỈNH ĐỘ ACID (338), HƯƠNG COLA TỰ NHIÊN, CAFFEINE",320 ml,Yes,,100ml,"energy,42 kcal,carbohydrate,10.5 g,total sugars,10.5 g,sodium,<= 23 mg",#VALUE!
8936236201206,Bia Hoegaarden 330ML,"topsmarket,bachhoaxanh","Nước, mạch nha, lúa mì, hoa houblon, hạt rau mùi, vỏ cam và nấm men",330 ml,No,,,,#VALUE!
8934588673276,Lốc 6 Chai Nước Ngọt Có Gas Pepsi Zero Vị Chanh 390ML,"topsmarket,bachhoaxanh","Nước bão hòa CO2, chất điều chỉnh độ axit (330, 338, 331(ii)), màu tổng hợp (Caramen nhóm IV 150d), hỗn hợp hương chanh tự nhiên, chất tạo ngọt tổng hợp (Aspartame 951, Acesulfame kali 950, Sucralose 955), chất bảo quản (202, 211), caffeine",390 ml,Yes,,390 ml,"sodium,45.6 mg",#VALUE!
8934822361211,Thức Uống Đại Mạch Heineken 0.0 330Ml,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH (6,6%), HƯƠNG TỰ NHIÊN VÀ HOA HOUBLON",330 ml,Yes,,100 ml,"energy,21 kcal,carbohydrate,4.8 g,total sugars,1.3 g,sodium,< 0.01 g",#VALUE!
8859453983529,Nước Khoáng I-on Pocari Sweat 350ML,"topsmarket,bachhoaxanh","Nước; Đường mía; Chất điều chỉnh độ axit (330, 331(iii), 296, 575 ),Hương liệu giống tự nhiên; Hương chanh tự nhiên; Natri clorid, Kali clorid; Canxi lactat, Magnesi carbonat; Chất chống oxi hóa (300)",350 ml,No,,,,#VALUE!
8935012413335,Thùng 24 Lon Bia 333 330ML,"topsmarket,bachhoaxanh","Nước, Malt đại mạch, Ngũ cốc, Hoa bia",330 ml,No,,,,#VALUE!
8934692090013,Bia 1664 Blanc 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, LÚA MỲ, XI-RÔ ĐƯỜNG, HOA BIA, HƯƠNG CARAMEN TỰ NHIÊN, HƯƠNG VỎ CAM TỰ NHIÊN, HƯƠNG MŨI TÂY TỰ NHIÊN",330 ml,Yes,,100 ml,"energy,40 kcal",#VALUE!
8936094291333,Lô 6 Lon Bia Budweiser 500ML,"topsmarket,bachhoaxanh","nước , mạch nha, gạo, hoa bia",500 ml,No,,,,#VALUE!
2000000727080,Bột Thức Uống Lúa Mạch Vị Chocolate Ovaltine Hộp 285G,"topsmarket,bachhoaxanh","Chiết xuất lúa mạch và mạch nha 24%, đường, glucose, bột ca cao 10.3%, dầu cọ, vitamin và khoáng chất (di-canxi photphat, vitamin C, sắt pyrophotphat, vitamin E, niacin, mangan sunphat, vitamin A, axit pantothenic, vitamin B6, vitamin B1, vitamin B2, vitamin D3, vitamin B12), bột sữa bơ 5%, bột whey, chất điều chỉnh độ axit 340 (ii), hương giống tự nhiên, natri caseinat, chất nhũ hóa 471, chất ổn định 451 (i), muối và maltodextrin",285 g,Yes,,20 g,"energy,70 kcal,protein,1.2 g,carbohydrate,15.3 g,total sugars,9 g,dietary fiber,1.9 g,total fat,1.8 g,saturated fat,1.2 g,omega-9 fatty acids,0.45 g,omega-6 fatty acids,0.08 g,cholesterol,< 1.6 mg,calcium,278 mg,phosphorus,240 mg,magnesium,26.9 g,zinc,0.5 g,manganese,05 mg,sodium,21 mg,cholline,9.8 mg,follic acid,5.6 mcg,vitamin B12,0.4 g,vitamin D,0.5 g,vitamin A,0.5 mcg,vitamin B1,0.1 mg,vitamin B2,0.3 mg,vitamin B6,0.3 mg,vitamin C,7.8 mg,vitamin E,2.2 mg,pantothenic acid,0.8 mg,niacin,2.0 mg,iron,3.1 g,monounsaturated fat,0.46 g,Unsaturated fat,0.09 g,monounsaturated fat,0.46 g",#VALUE!
7612100055885,Bột Thức Uống Lúa Mạch Vị Chocolate Ovaltine Hộp 285G,"topsmarket,bachhoaxanh","Chiết xuất lúa mạch và mạch nha 24%, đường, glucose, bột ca cao 10.3%, dầu cọ, vitamin và khoáng chất (di-canxi photphat, vitamin C, sắt pyrophotphat, vitamin E, niacin, mangan sunphat, vitamin A, axit pantothenic, vitamin B6, vitamin B1, vitamin B2, vitamin D3, vitamin B12), bột sữa bơ 5%, bột whey, chất điều chỉnh độ axit 340 (ii), hương giống tự nhiên, natri caseinat, chất nhũ hóa 471, chất ổn định 451 (i), muối và maltodextrin",285 g,Yes,,20 g,"energy,70 kcal,protein,1.2 g,carbohydrate,15.3 g,total sugars,9 g,dietary fiber,1.9 g,total fat,1.8 g,saturated fat,1.2 g,omega-9 fatty acids,0.45 g,omega-6 fatty acids,0.08 g,cholesterol,< 1.6 mg,calcium,278 mg,phosphorus,240 mg,magnesium,26.9 g,zinc,0.5 g,manganese,05 mg,sodium,21 mg,cholline,9.8 mg,follic acid,5.6 mcg,vitamin B12,0.4 g,vitamin D,0.5 g,vitamin A,0.5 mcg,vitamin B1,0.1 mg,vitamin B2,0.3 mg,vitamin B6,0.3 mg,vitamin C,7.8 mg,vitamin E,2.2 mg,pantothenic acid,0.8 mg,niacin,2.0 mg,iron,3.1 g,monounsaturated fat,0.46 g,Unsaturated fat,0.09 g,monounsaturated fat,0.46 g",#VALUE!
8935005801111,Nước Khoáng Thiên Nhiên Lavie 350ML,"topsmarket,bachhoaxanh",Nước,350 ml,Yes,,1 l,"sodium,95-130 mg,calcium,11-17 mg,magnesium,3-6 mg,TDS,310-390 mg,potassium,2-3 mg,Fluorid,0.5 mg,lodide (U), 0,01 mg,Bicarbonate (HCO3)3,280-330 mg",#VALUE!
8935012443366,Bia Saigon Gold Lon Sleek 330ML,"topsmarket,bachhoaxanh","Nươc, malt đại mạch, hoa bia",330 ML,No,,,,#VALUE!
8936094296024,Thùng 12 Lon Bia Beck'S Ice Sleek 330ML,"topsmarket,bachhoaxanh","nước , mạch nha, hoa bia",330 ML,No,,,,#VALUE!
8936127790017,Nước Tinh Khiết TH True Water 500ML,"topsmarket,bachhoaxanh",nước lọc tinh khiết,500 ml,No,,,,#VALUE!
8935049500544,Nước Khoáng Thiên Nhiên Dasani 510ML,"topsmarket,bachhoaxanh",100% nước,510 ml,No,,,,#VALUE!
8934692090020,Bia Blanc 1664 Lon 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, LÚA MỲ, XI-RÔ ĐƯỜNG, HOA BIA, HƯƠNG CARAMEN TỰ NHIÊN, HƯƠNG VỎ CAM TỰ NHIÊN, HƯƠNG MŨI TÂY TỰ NHIÊN",330 ml,Yes,,100 ml,"energy,40 kcal",#VALUE!
8934822111212,Nước Táo Lên Men Strongbow Gold Apple Lon 330ML,"topsmarket,bachhoaxanh","Nước, nước táo lên men với sucrose cider), sl-rd, chất tạo khi carbonic (E290), chất điều chỉnh độ acid (E296). hương táo tự nhiên, màu caramel (E150a), chất bảo quản Kali Metabisulfit (E224)",330 ml,No,,,,#VALUE!
8934822134334,Lốc 6 Lon Bia Tiger 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,No,,,,#VALUE!
8934822213336,Thùng 24 Lon Bia Heineken Sleek 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, HOA BIA",330 ml,Yes,,100 ml,"energy,42 kcal",#VALUE!
8935012413322,Lốc 6 Lon Bia Sài Gòn Lager 330ML,"topsmarket,bachhoaxanh","Nước, malt đại mạch, ngũ cốc, hoa bia.",330 ml,No,,,,#VALUE!
8934822261214,Bia Tiger Platinum 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, LÚA MÌ (3,4 %), NGŨ CỐC, HOA BIA, VỎ CAM, HẠT RAU MÙI, CHẤT ỔN ĐỊNH (PECTIN TÁO), HƯƠNG CAM GIỐNG TỰ NHIÊN VÀ MEN",330 ml,No,,,,#VALUE!
8934707027874,Trà Chanh Lipton Hòa Tan Tươi Mát Tỉnh Người 16 Gói 14G,"topsmarket,bachhoaxanh","Đường, Chất điều chỉnh độ acid (INS 330, INS 331(iii)), Muối i-ốt, Tinh chất trà đen (0,7 %), Màu tổng hợp (Caramen nhóm IV - INS 150d), Hương chanh tự nhiên, Vitamin C (Acid L-ascorbic) (0,3 %), Chất tạo ngot tong hop (Aspartam - INS 951, Acesulfam kali - INS 950, Sucralose - INS 955), Bột mật ong (0,06 %) và Hương mật ong tổng hợp. Sản phẩm có chứa gluten và sulphite",224 g,Yes,,14g,"energy,55 kcal,carbohydrate,14 g,total sugars,14 g,sodium,0.07 g,vitamin C,41 mg",#VALUE!
8934822203511,Lốc 6 Lon Bia Heineken Silver 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, HOA BIA",330 ml,Yes,,100 ml,"energy,35 kcal",#VALUE!
8934822215330,Thùng 16 Lon Bia Heineken Sleek 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, HOA BIA",330 ml,Yes,,100 ml,"energy,42 kcal",#VALUE!
8935049501596,Nước Soda Schweppes 320ML,"topsmarket,bachhoaxanh","Nước bão hòa CO2, chất điều chỉnh độ axit (500ii)",320 ml,Yes,,100 ml,"sodium,<= 37 mg",#VALUE!
8934822235338,Lốc 6 Lon Bia Heineken Silver 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, HOA BIA",330 ml,Yes,,100 ml,"energy,35 kcal",#VALUE!
8934822104337,Thùng 24 Lon Bia Tiger 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,No,,,,#VALUE!
8936094291302,Bia Budweiser 500ML,"topsmarket,bachhoaxanh","nước , mạch nha, gạo, hoa bia",500 ml,No,,,,#VALUE!
8935049502226,Lốc 6 Lon Nước Ngọt Coca Cola 320ML,"topsmarket,bachhoaxanh","NƯỚC BÃO HÒA CO2, ĐƯỜNG MÍA, ĐƯỜNG HFCS, MÀU TỰ NHIÊN (CARAMEN NHÓM IV), CHẤT ĐIỀU CHỈNH ĐỘ ACID (338), HƯƠNG COLA TỰ NHIÊN, CAFFEINE",320 ml,Yes,,100ml,"energy,42 kcal,carbohydrate,10.5 g,total sugars,10.5 g,sodium,<= 23 mg",#VALUE!
8936029810066,Bia Tiger Crystal Lon 330ML,"topsmarket,bachhoaxanh","NƯỚC, ĐẠI MẠCH, NGŨ CỐC, HOA BIA",330 ml,No,,,,#VALUE!
8935012413339,Lốc 6 Lon Bia 333 330ML,"topsmarket,bachhoaxanh","Nước, Malt đại mạch, Ngũ cốc, Hoa bia",330 ml,No,,,,#VALUE!
8935012443304,Bia Saigon Special Sleek 330ML,"topsmarket,bachhoaxanh","Nước, Malt đại mạch, Ngũ cốc, Hoa bia",330 ml,No,,,,#VALUE!
8936094291005,Bia Budweiser Sleek 330ML,"topsmarket,bachhoaxanh","nước , mạch nha, gạo, hoa bia",330 ml,No,,,,#VALUE!
8935012443301,Thùng 24 Lon Bia Sài Gòn Special Sleek 330ML,"topsmarket,bachhoaxanh","Nước, Malt đại mạch, Ngũ cốc, Hoa bia",330 ml,No,,,,#VALUE!
8801117070007,Nước Khoáng Thiên Nhiên Orion Từ Núi Lửa Jeju 530ML,"topsmarket,bachhoaxanh","NƯỚC KHOÁNG NÚI LỬA JEJU 99,9955%, KALI CLORID 
DO TÍNH CHẤT CỦA NƯỚC KHOÁNG, TINH THỂ KHOẢNG TRĂNG CÓ THỂ XUẤT HIỆN KHI NHIỆT ĐỘ THAY ĐỔI, CHẲNG HẠN NHƯ ĐUN NÓNG HOẶC ĐÓNG BĂNG, NHƯNG NÓ LÀ THÀNH PHẦN KHOÁNG CHẤT TỰ NHIÊN.",530 ml,Yes,,1 l,"calcium,62 mg,magnesium,9 mg",#VALUE!
8934692070176,Thùng 24 Lon Bia Huda 330ML,"topsmarket,bachhoaxanh","Nước, ngũ cốc, đại mạch và hoa bia.",330 ml,Yes,,100ml,"energy,37.5 kcal",#VALUE!
8934692070121,Lốc 6 Lon Bia Huda 330ML,"topsmarket,bachhoaxanh","Nước, ngũ cốc, đại mạch và hoa bia.",330 ml,Yes,,100ml,"energy,37.5 kcal",#VALUE!
8935049501312,Trà Bí Đao La Hán Quả Fuze Tea 320ML,"topsmarket,bachhoaxanh","Nước, đường mía,  bột bí đao (0,12%), màu tự nhiên (caramen nhóm IV), hỗn hợp hương tổng hợp, chất chống oxy hóa (5301), chất tạo ngọt tổng hợp (acesulfame potassium, sucralose), chất điều chỉnh độ acid (5338), chiết xuất La hán quả (50 mg/l)",320 ml,Yes,,320 ml,"energy,57 kcal",#VALUE!
8935049501329,Nước Tăng Lực Predator Gold Double Strength Lon 330ML,"topsmarket,bachhoaxanh","Nước bão hoà CO2, đường, chất điều chỉnh độ acid (acid citric, trinatri citrat, acid tartaric), hỗn hợp hương trái cây tự nhiên và nhân tạo, taurine (1g/l), chất bảo quản (kali sorbat, natri benzoat), caffeine (420mg/l), vitamin (B3, B6), phẩm màu tổng hợp (tartrazin, alluara red AC, brilliant blue FCF), inositol, chất tạo ngọt tổng hợp (sucralose).
Gáp đôi lượng caffeine khi so sánh với nước tăng lực Samurai hương dấu.
Không khuyên dùng cho người dứoi 18 tuổi , phụ nữ mang thai , cho con bú hoặc nhạy cảm với caffeine",330 ml,Yes,,330 ml,"energy,232 kcal,carbohydrate,58 g,total sugars,56g,sodium,135 mg,vitamin B3,10.6 mg,vitamin B6,0.92 mg",#VALUE!
8935001200321,Nước Sữa Dừa Wonderfarm 240ML,"topsmarket,bachhoaxanh","Nước, nước cốt dừa (5%), đường, chất nhũ hóa (polyoxyethylen (20) sorbitan monooleat (433), momo và diglycerid của các acid béo (471)), hương vanilla giống tự nhiên",240 ml,Yes,,100ml,"energy,34 kcal,carbohydrate,4.6 g,protein,0.2 g,total fat,1.6 g",#VALUE!
8934707009269,Trà Lipton Nhãn Vàng Hộp 25 Gói x 2G,"topsmarket,bachhoaxanh",100% trà đen,50g,No,,,,#VALUE!
8938501634054,Bột Ca Cao  Vietnamcacao Caravelle 300G,"topsmarket,bachhoaxanh","Bột ca cao 99.9%, hương tổng hợp (hương sô cô la, hương vani) 0.1%",300 g,Yes,,100g,"energy,391 kcal,total fat,4.46 g,carbohydrate,77.8 g,protein,9.69g",#VALUE!
8934822171612,Lốc 6 Lon Nước Táo Lên Men Strongbow Dark Fruit 330ML,"topsmarket,bachhoaxanh","Nước, nước táo lên men với sucrose (cider), si-rô, nước ép lý chua đen (blackcurrant), màu cà rốt đen (black carrot), chất điều chỉnh độ acid (E296), chất tạo khí carbonic (E290), chất bảo quản Kali Metabisulfit (E224), hương lý chua đen (blackcurrant) tự nhiên.",330 ml,No,,,,#VALUE!
8935049500718,Thùng 24 Chai Trà Chanh Dây Hạt Chia Fuze Tea 450ML,"topsmarket,bachhoaxanh","Nước, đường mía, đường HFCS, nước trái cây (1.9%), hạt chia (0.22%), chất điều chỉnh độ acid, bột trà 0.1%, ascorbic acid, hương chanh dây tổng hợp",450 ml,Yes,,100ml,"energy,45 kcal,carbohydrate,11 g,total sugars,10.5 g,sodium,>= 21 mg,vitamin C,10.5 mg,tea polyphenol,8 mg",#VALUE!
